grasp_center: [-0.0065981  -0.47955465  1.27259398]
grasp_center: [-0.03246347 -0.4806621   1.27289829]
grasp_center: [-0.03248933 -0.4806632   1.30424752]
grasp_center: [-0.00773432 -0.4796033   1.26831031]
grasp_center: [ 0.01646143 -0.47856734  1.29677457]
grasp_center: [-0.05120416 -0.48146449  1.29881407]
grasp_center: [-0.06810454 -0.48218809  1.26907412]
grasp_center: [-0.01567694 -0.47994337  1.26913575]
grasp_center: [ 0.02141829 -0.47835511  1.26818131]
grasp_center: [ 0.04518537 -0.47733751  1.29485662]
grasp_center: [-0.03491866 -0.48076722  1.28719286]
grasp_center: [-0.01845004 -0.4800621   1.27118826]
grasp_center: [ 0.05576997 -0.47688432  1.28847256]
grasp_center: [-0.01284464 -0.4798221   1.28360508]
grasp_center: [-0.01258161 -0.47981084  1.28187434]
grasp_center: [ 0.054794   -0.47692611  1.2742015 ]
grasp_center: [-0.10513375 -0.48377352  1.26766288]
grasp_center: [-0.08793299 -0.48303706  1.30003371]
grasp_center: [ 0.03583115 -0.47773802  1.3089382 ]
grasp_center: [-0.01612567 -0.47996258  1.29862964]
grasp_center: [-0.00289091 -0.47939593  1.26951359]
grasp_center: [-0.01083703 -0.47973614  1.27454213]
grasp_center: [-0.02861445 -0.4804973   1.29094139]
grasp_center: [-0.03315441 -0.48069168  1.27860733]
grasp_center: [ 0.10260061 -0.47487924  1.30594286]
grasp_center: [ 0.0307889  -0.4779539   1.27578072]
grasp_center: [-0.12524002 -0.48463439  1.30811477]
grasp_center: [-0.03808192 -0.48090265  1.28122548]
grasp_center: [ 0.00969495 -0.47885705  1.3021512 ]
grasp_center: [-0.02448366 -0.48032043  1.26887102]
grasp_center: [-0.00635987 -0.47954445  1.28675168]
grasp_center: [-0.05155848 -0.48147966  1.2885999 ]
grasp_center: [ 1.27646680e-03 -4.79217497e-01  1.27925040e+00]
grasp_center: [-0.07370907 -0.48242805  1.29032595]
grasp_center: [-0.00576304 -0.4795189   1.28462468]
grasp_center: [-0.01948283 -0.48010632  1.27572994]
grasp_center: [-0.06303287 -0.48197094  1.30905475]
grasp_center: [ 0.01089445 -0.4788057   1.27113348]
grasp_center: [-0.01706624 -0.48000285  1.29305684]
grasp_center: [ 0.04245016 -0.47745462  1.30631856]
grasp_center: [ 1.09813375e-03 -4.79225133e-01  1.30791406e+00]
grasp_center: [-0.05914691 -0.48180456  1.27553639]
grasp_center: [-0.06122249 -0.48189343  1.27766945]
grasp_center: [ 0.06255067 -0.476594    1.28111608]
grasp_center: [ 0.01517532 -0.47862241  1.28161685]
grasp_center: [-0.05976501 -0.48183103  1.30451929]
grasp_center: [-0.04933588 -0.4813845   1.29967342]
grasp_center: [-0.04600862 -0.48124204  1.30852029]
grasp_center: [-0.00746946 -0.47959196  1.27150979]
grasp_center: [-0.02276521 -0.48024686  1.27421763]
grasp_center: [ 0.05751426 -0.47680964  1.3061185 ]
grasp_center: [ 0.02146845 -0.47835296  1.29909791]
grasp_center: [ 0.02291464 -0.47829104  1.30180114]
grasp_center: [-0.07032677 -0.48228324  1.27493664]
grasp_center: [-0.09682518 -0.48341779  1.30384712]
grasp_center: [-0.11204109 -0.48406926  1.29824872]
grasp_center: [-0.05283352 -0.48153425  1.26928258]
grasp_center: [-0.063783   -0.48200306  1.26732329]
grasp_center: [-0.00478959 -0.47947722  1.28076   ]
grasp_center: [-0.00824676 -0.47962524  1.27207031]
grasp_center: [-0.03357372 -0.48070963  1.28204876]
grasp_center: [ 0.05722675 -0.47682195  1.27324749]
grasp_center: [-0.02170391 -0.48020142  1.28528276]
grasp_center: [ 0.05107406 -0.47708538  1.28153274]
grasp_center: [ 0.05152014 -0.47706628  1.29014524]
grasp_center: [ 0.06037364 -0.47668721  1.2876526 ]
grasp_center: [ 0.00598409 -0.47901594  1.27485005]
grasp_center: [-6.05848298e-04 -4.79298090e-01  1.29104437e+00]
grasp_center: [-0.07330719 -0.48241085  1.29565672]
grasp_center: [-1.82850518e-04 -4.79279979e-01  1.28872137e+00]
grasp_center: [-0.07113232 -0.48231773  1.29585417]
grasp_center: [-0.00445607 -0.47946294  1.28938429]
grasp_center: [ 0.05400266 -0.47695999  1.29519122]
grasp_center: [-0.0305435  -0.48057989  1.27752036]
grasp_center: [-0.00640437 -0.47954636  1.28484236]
grasp_center: [-0.05702073 -0.48171353  1.26746094]
grasp_center: [ 0.00305092 -0.47914152  1.28713053]
grasp_center: [-0.02987691 -0.48055135  1.29813773]
grasp_center: [-1.27973505e-03 -4.79326943e-01  1.28012491e+00]
grasp_center: [-0.00254209 -0.47938099  1.29371369]
grasp_center: [-0.01232784 -0.47979997  1.2836079 ]
grasp_center: [ 0.0171555  -0.47853763  1.29982221]
grasp_center: [-0.02464359 -0.48032728  1.29832689]
grasp_center: [ 0.02924616 -0.47801996  1.2726213 ]
grasp_center: [-0.10075124 -0.48358588  1.30166204]
grasp_center: [-0.0377549  -0.48088865  1.30065717]
grasp_center: [ 0.02758795 -0.47809095  1.28809328]
grasp_center: [ 0.02267368 -0.47830136  1.27576069]
grasp_center: [-0.00554422 -0.47950953  1.27944307]
grasp_center: [-0.02314808 -0.48026325  1.29445489]
grasp_center: [-0.03899366 -0.48094169  1.27977995]
grasp_center: [ 0.01410273 -0.47866833  1.28381903]
grasp_center: [-0.066873   -0.48213536  1.28738809]
grasp_center: [-0.0074234  -0.47958999  1.26983685]
grasp_center: [-0.04363569 -0.48114044  1.29174755]
grasp_center: [-0.01568766 -0.47994383  1.27640242]
grasp_center: [ 0.00221454 -0.47917733  1.29651176]
grasp_center: [-0.01541187 -0.47993202  1.29886431]
grasp_center: [-0.06263874 -0.48195407  1.28135263]
grasp_center: [-0.06108753 -0.48188765  1.27184823]
grasp_center: [-0.02541519 -0.48036032  1.2708634 ]
grasp_center: [-0.00847973 -0.47963522  1.27025642]
grasp_center: [-0.02816823 -0.48047819  1.29215301]
grasp_center: [-0.02751068 -0.48045004  1.28432793]
grasp_center: [ 0.07118366 -0.47622437  1.28860657]
grasp_center: [-0.06230024 -0.48193958  1.29995739]
grasp_center: [-0.01378678 -0.47986244  1.27860741]
grasp_center: [-0.00621615 -0.4795383   1.27179229]
grasp_center: [ 0.00629399 -0.47900267  1.30667189]
grasp_center: [-0.06238699 -0.48194329  1.2836124 ]
grasp_center: [ 0.00280289 -0.47915214  1.29033279]
grasp_center: [ 0.03999061 -0.47755993  1.26718108]
grasp_center: [-0.09916082 -0.48351779  1.30535598]
grasp_center: [-0.05287788 -0.48153615  1.27235287]
grasp_center: [ 0.00705612 -0.47897004  1.2706259 ]
grasp_center: [-0.09572277 -0.48337058  1.2747931 ]
